1;Innere Stadt
2;St. Leonhard
3;Geidorf
4;Lend
5;Gries
6;Jakomini
7;Liebenau
8;St. Peter
9;Waltendorf
10;Ries
11;Mariatrost
12;Andritz
13;Gösting
14;Eggenberg
15;Wetzelsdorf
16;Straßgang
17;Puntigam
