1;annaplatz;Annaplatz;graz-eggenberg;
1;annaweg;Annaweg;graz-eggenberg;
1;annenstraße;Annenstraße;graz-lend;
1;annenstraße;Annenstraße;graz-gries;
1;anselmfranzgasse;Anselm-Franz-Gasse;graz-puntigam;
1;anthauerweg;Anthauerweg;graz-straßgang;
1;antonfüsterweg;Anton-Füster-Weg;graz-geidorf;
1;antongerstlstraße;Anton-Gerstl-Straße;graz-lend;
1;antongerstlstraße;Anton-Gerstl-Straße;graz-eggenberg;
1;antonjandlweg;Anton-Jandl-Weg;graz-sanktpeter;
1;antonkleinoschegstraße;Anton-Kleinoscheg-Straße;graz-gösting;
1;antonlebgasse;Anton-Leb-Gasse;graz-geidorf;
1;antonlehmanngasse;Anton-Lehmann-Gasse;graz-sanktpeter;
1;antonlippeplatz;Anton-Lippe-Platz;graz-liebenau;
1;antonmellweg;Anton-Mell-Weg;graz-straßgang;
1;antonpaarstraße;Anton-Paar-Straße;graz-straßgang;
1;antonschwarzgasse;Anton-Schwarz-Gasse;graz-andritz;
1;antonwildgansweg;Anton-Wildgans-Weg;graz-mariatrost;
1;anzengrubergasse;Anzengrubergasse;graz-jakomini;
1;apothekerweg;Apothekerweg;graz-mariatrost;
1;archenoah;Arche Noah;graz-gries;
1;archerweg;Archerweg;graz-wetzelsdorf;
1;argenotstraße;Argenotstraße;graz-waltendorf;
1;argenotstraße;Argenotstraße;graz-ries;
1;aribonenstraße;Aribonenstraße;graz-straßgang;
1;arndtgasse;Arndtgasse;graz-jakomini;
1;arnethgasse;Arnethgasse;graz-wetzelsdorf;
1;arnikaweg;Arnikaweg;graz-sanktpeter;
1;arnoldluschingasse;Arnold-Luschin-Gasse;graz-gries;
1;arthurmarchgasse;Arthur-March-Gasse;graz-puntigam;
1;arthurschnitzlergasse;Arthur-Schnitzler-Gasse;graz-andritz;
1;arturmichlgasse;Artur-Michl-Gasse;graz-sanktpeter;
1;aspachgasse;Aspachgasse;graz-gösting;
1;aspasiagasse;Aspasiagasse;graz-ries;
1;asperngasse;Asperngasse;graz-lend;
1;attemsgasse;Attemsgasse;graz-geidorf;
1;auenbruggerplatz;Auenbruggerplatz;graz-geidorf;
1;auersperggasse;Auersperggasse;graz-geidorf;
1;auerwelsbachgasse;Auer-Welsbach-Gasse;graz-puntigam;
1;aufderheide;Auf der Heide;graz-liebenau;
1;aufdermurwiese;Auf der Murwiese;graz-liebenau;
1;aufdertändelwiese;Auf der Tändelwiese;graz-gries;
1;augasse;Augasse;graz-lend;
1;augasse;Augasse;graz-gösting;
1;augustmusgergasse;August-Musger-Gasse;graz-geidorf;
1;austeingasse;Austeingasse;graz-lend;
1;autalerstraße;Autaler Straße;graz-sanktpeter;
1;auwaldgasse;Auwaldgasse;graz-liebenau;
1;auwiesenweg;Auwiesenweg;graz-puntigam;
1;babenbergerstraße;Babenbergerstraße;graz-lend;
1;bachweg;Bachweg;graz-sanktpeter;
1;bäckerweg;Bäckerweg;graz-straßgang;
1;badenpowellallee;Baden-Powell-Allee;graz-innerestadt;
1;badgasse;Badgasse;graz-innerestadt;
1;bahnhofgürtel;Bahnhofgürtel;graz-lend;
1;bahnhofstraße;Bahnhofstraße;graz-straßgang;
1;bahnweg;Bahnweg;graz-liebenau;
1;baiernhofweg;Baiernhofweg;graz-eggenberg;
1;baiernstraße;Baiernstraße;graz-eggenberg;
1;ballhausgasse;Ballhausgasse;graz-innerestadt;
1;banngrabenweg;Banngrabenweg;graz-liebenau;
1;banngrabenweg;Banngrabenweg;graz-sanktpeter;
1;bärlauchweg;Bärlauchweg;graz-puntigam;
1;bauernfeldstraße;Bauernfeldstraße;graz-eggenberg;
1;baumgasse;Baumgasse;graz-andritz;
1;baumkircherstraße;Baumkircherstraße;graz-lend;
1;baumschulgasse;Baumschulgasse;graz-geidorf;
1;beethovenstraße;Beethovenstraße;graz-sanktleonhard;
1;beethovenstraße;Beethovenstraße;graz-geidorf;
1;belgiergasse;Belgiergasse;graz-gries;
1;bergmanngasse;Bergmanngasse;graz-geidorf;
1;bergstraße;Bergstraße;graz-eggenberg;
1;berlinerring;Berliner Ring;graz-waltendorf;
1;berschenygasse;Berschenygasse;graz-puntigam;
1;bertholdlinderweg;Berthold-Linder-Weg;graz-sanktleonhard;
1;bertholdlinderweg;Berthold-Linder-Weg;graz-waltendorf;
1;bessemergasse;Bessemergasse;graz-gries;
1;bethlehemgasse;Bethlehemgasse;graz-gries;
1;bienengasse;Bienengasse;graz-lend;
1;billrothgasse;Billrothgasse;graz-ries;
1;bindergasse;Bindergasse;graz-innerestadt;
1;birkenhang;Birkenhang;graz-waltendorf;
1;birkenweg;Birkenweg;graz-puntigam;
1;bischofplatz;Bischofplatz;graz-innerestadt;
1;blasbauerweg;Blasbauerweg;graz-gösting;
1;blümelhofweg;Blümelhofweg;graz-mariatrost;
1;blümelstraße;Blümelstraße;graz-eggenberg;
1;blütengasse;Blütengasse;graz-geidorf;
1;bodenfeldgasse;Bodenfeldgasse;graz-eggenberg;
1;bogengasse;Bogengasse;graz-geidorf;
1;borromäumgasse;Borromäumgasse;graz-jakomini;
1;boschweg;Boschweg;graz-liebenau;
1;bozenerstraße;Bozener Straße;graz-gries;
1;brahmsstraße;Brahmsstraße;graz-jakomini;
1;brandauerweg;Brandauerweg;graz-straßgang;
1;brandhofgasse;Brandhofgasse;graz-sanktleonhard;
